132546,2200
132546,1581
132546,6571
132546,9421
134831,2200
134831,1581
134831,6571
134831,6584
213265,1241
213265,7820
213265,9176
213265,6553
232564,6048
232564,1324
232564,6444
232564,6584
331669,1241
331669,7820
331669,9176
331669,6553
346589,3215
346589,6943
346589,8452
346589,6553
351658,3215
351658,6943
351658,8452
351658,9421
467956,3215
467956,6943
467956,8452
467956,9421
546654,3215
546654,6943
546654,8452
546654,9421
546897,6048
546897,1324
546897,6444
546897,6584
646879,6048
646879,1324
646879,6444
646879,6584
654469,3215
654469,6943
654469,8452
654469,9421
732316,1241
732316,7820
732316,9176
732316,6553
792135,2200
792135,1581
792135,6571
792135,6584
798892,6048
798892,1324
798892,6444
798892,6584
798961,2200
798961,1581
798961,6571
798961,9421
799854,2200
799854,1581
799854,6571
799854,9421
987432,1241
987432,7820
987432,9176
987432,6553
987521,6048
987521,1324
987521,6444
987521,6584
989561,1241
989561,7820
989561,9176
989561,6553
